Subjects	Relation	Objects	Normalized Relation	Sentence
SUBJ:Constanze#PER	daughter	POBJ-OF:Fridolin Weber#PER	be daughter	In the summer of 1781 , it was rumored that Mozart was contemplating marriage to Fridolin Weber 's daughter , Constanze .
SUBJ:Mozart#PER	wrote father		write father	Knowing his father would disapprove of the marriage and the interruption in his career , young Mozart quickly wrote his father denying any idea of marriage .
SUBJ:Leopold#PER	disapproved		disapprove	While it 's known that Leopold disapproved , what is not known is the discussion between father and son as Leopold 's letters were said to be destroyed by Constanze .
SUBJ:Constanze#PER	destroyed		destroy	While it 's known that Leopold disapproved , what is not known is the discussion between father and son as Leopold 's letters were said to be destroyed by Constanze .
SUBJ:Leopold#PER	consent		be consent	In the meantime , Leopold did finally consent to the marriage .
SUBJ:Constanze#PER,,SUBJ:Wolfgang#PER	had children		have child	Constanze and Wolfgang had six children , though only two survived infancy , Karl Thomas and Franz Xaver .
SUBJ:Franz Xaver#PER,,SUBJ:Karl Thomas#PER	survived infancy		be infancy	Constanze and Wolfgang had six children , though only two survived infancy , Karl Thomas and Franz Xaver .
	enthralled	DOBJ:Wolfgang Amadeus Mozart#PER	enthral	As 1782 turned to 1783 , Wolfgang Amadeus Mozart became enthralled with the work of Johannes Sebastian Bach and George Frederic Handel and this , in turn , resulted in several compositions in the Baroque style and influenced much of his later compositions , such as passages in Die Zauberflote -LRB- The Magic Flute -RRB- and the finale of Symphony Number 41 .
	work	DOBJ:Johannes Sebastian Bach#PER,,DOBJ:George Frederic Handel#PER	work	As 1782 turned to 1783 , Wolfgang Amadeus Mozart became enthralled with the work of Johannes Sebastian Bach and George Frederic Handel and this , in turn , resulted in several compositions in the Baroque style and influenced much of his later compositions , such as passages in Die Zauberflote -LRB- The Magic Flute -RRB- and the finale of Symphony Number 41 .
SUBJ:Mozart#PER	met		meet	During this time , Mozart met Joseph Haydn and the two composers became admiring friends .
SUBJ:Joseph Haydn#PER	became admiring friends		become friend	During this time , Mozart met Joseph Haydn and the two composers became admiring friends .
SUBJ:Haydn#PER	visited	DOBJ:Vienna#LOC	visit	When Haydn visited Vienna , they sometimes performed impromptu concerts with string quartets .
SUBJ:Mozart#PER	wrote quartets		write quartet	Between 1782 and 1785 Mozart wrote six quartets dedicated to Haydn .
